Year,Quarter,Type,Entity_Name,Transaction_Count,Transaction_Amount
2020,2,State,Maharashtra,39836,6879717.0
2020,2,State,Karnataka,27358,4794150.0
2020,2,State,Andhra Pradesh,22104,3982391.0
2020,2,State,Telangana,19003,3419453.0
2020,2,State,Delhi,11716,1897480.0
2020,2,State,Uttar Pradesh,9884,1912266.0
2020,2,State,Gujarat,7697,1430591.0
2020,2,State,West Bengal,7619,1432764.0
2020,2,State,Haryana,6321,1179814.0
2020,2,State,Madhya Pradesh,6283,1198701.0
2020,2,District,Bengaluru Urban,20040,3301769.0
2020,2,District,Pune,8699,1482628.0
2020,2,District,Thane,7559,1221018.0
2020,2,District,Mumbai Suburban,5780,884439.0
2020,2,District,Hyderabad,4783,805518.0
2020,2,District,Rangareddy,4495,778492.0
2020,2,District,Medchal Malkajgiri,4150,711890.0
2020,2,District,Visakhapatnam,3504,614212.0
2020,2,District,Aurangabad,2898,509460.0
2020,2,District,Anantapur,2739,485777.0
2020,2,Pincode,560068,1076,168415.0
2020,2,Pincode,560037,1034,155914.0
2020,2,Pincode,110059,895,132104.0
2020,2,Pincode,560076,802,124790.0
2020,2,Pincode,500072,760,122394.0
2020,2,Pincode,560078,742,119673.0
2020,2,Pincode,421201,668,104388.0
2020,2,Pincode,560100,651,103528.0
2020,2,Pincode,431003,651,107122.0
2020,2,Pincode,110092,638,94570.0
2020,3,State,Maharashtra,71662,19230156.0
2020,3,State,Karnataka,53701,12407394.0
2020,3,State,Andhra Pradesh,49812,12426481.0
2020,3,State,Telangana,34395,8406543.0
2020,3,State,Uttar Pradesh,18131,4436969.0
2020,3,State,Rajasthan,15235,3758527.0
2020,3,State,Madhya Pradesh,14476,3496126.0
2020,3,State,West Bengal,12596,2878482.0
2020,3,State,Gujarat,12525,3335812.0
2020,3,State,Odisha,10955,2640191.0
2020,3,District,Bengaluru Urban,32192,6940765.0
2020,3,District,Pune,18176,4567561.0
2020,3,District,Visakhapatnam,7906,1892376.0
2020,3,District,Thane,6951,1718946.0
2020,3,District,Rangareddy,6340,1509162.0
2020,3,District,Hyderabad,6331,1397580.0
2020,3,District,Medchal Malkajgiri,5929,1415970.0
2020,3,District,Nashik,5564,1418697.0
2020,3,District,Spsr Nellore,5509,1259159.0
2020,3,District,Krishna,4519,1093882.0
2020,3,Pincode,560068,1603,340876.0
2020,3,Pincode,560076,1148,250474.0
2020,3,Pincode,560078,1124,243443.0
2020,3,Pincode,500072,1103,243812.0
2020,3,Pincode,410501,1067,278535.0
2020,3,Pincode,345021,1003,203794.0
2020,3,Pincode,535003,968,195870.0
2020,3,Pincode,431003,926,209817.0
2020,3,Pincode,560037,923,202431.0
2020,3,Pincode,560079,904,183362.0
2020,4,State,Maharashtra,44798,27113814.0
2020,4,State,Karnataka,31747,26814968.0
2020,4,State,Andhra Pradesh,21464,12985632.0
2020,4,State,Telangana,20961,11339099.0
2020,4,State,Uttar Pradesh,17470,14180417.0
2020,4,State,Rajasthan,12509,6471573.0
