Year,Quarter,Type,Entity_Name,Transaction_Count,Transaction_Amount
2018,1,State,Maharashtra,16387034,21711613257.725674
2018,1,State,Uttar Pradesh,12537805,13939970923.223106
2018,1,State,Karnataka,12016899,19217895314.012802
2018,1,State,West Bengal,11710225,10625978552.140453
2018,1,State,Andhra Pradesh,9039585,11996276391.823706
2018,1,State,Telangana,8522766,13308204118.542435
2018,1,State,Madhya Pradesh,8025395,8681603403.446348
2018,1,State,Rajasthan,7591690,8926293130.72684
2018,1,State,Delhi,7122754,11211503806.91996
2018,1,State,Tamil Nadu,6726622,11261557697.516891
2018,1,District,Bengaluru Urban,8306513,14162750303.06484
2018,1,District,Pune,3842929,5378982326.835919
2018,1,District,Central Delhi,2997714,4312145216.274474
2018,1,District,Mumbai,2671029,3923116793.952079
2018,1,District,Chennai,2656230,4281137762.522443
2018,1,District,Hyderabad,2545507,4287223789.76588
2018,1,District,Jaipur,2417174,2953086960.1413727
2018,1,District,Birbhum,2125816,2520486412.452376
2018,1,District,Kolkata,2043129,2753347660.1429114
2018,1,District,Bhopal,1704495,1905473874.8326716
2018,1,Pincode,560001,2917356,4684262246.184548
2018,1,Pincode,110006,2636324,3714139312.238586
2018,1,Pincode,400008,2227885,3105208723.475169
2018,1,Pincode,600003,2010196,2997847000.265506
2018,1,Pincode,731101,1764956,2366771285.7278423
2018,1,Pincode,700009,1390629,1851145374.4001179
2018,1,Pincode,411001,1055656,1413523605.5956619
2018,1,Pincode,500012,933013,1643061976.4262943
2018,1,Pincode,462001,832846,898730606.684653
2018,1,Pincode,201301,690196,987613438.9540119
2018,2,State,Maharashtra,22285740,36357057241.12254
2018,2,State,West Bengal,18082446,18629183470.204285
2018,2,State,Uttar Pradesh,17710943,25720201695.701435
2018,2,State,Karnataka,17116447,33515580081.29709
2018,2,State,Andhra Pradesh,12353918,22883914272.633617
2018,2,State,Telangana,10764670,23017201517.652737
2018,2,State,Madhya Pradesh,10561412,15924081066.680984
2018,2,State,Tamil Nadu,9992128,20125844276.267662
2018,2,State,Rajasthan,9973697,15559086175.759623
2018,2,State,Delhi,9373723,17446299902.205147
2018,2,District,Bengaluru Urban,11916035,23824727965.49048
2018,2,District,Pune,5162876,8513428062.925206
2018,2,District,Chennai,3719593,7305357440.752291
2018,2,District,Central Delhi,3589206,6223466821.092629
2018,2,District,Mumbai,3277612,6048515205.760132
2018,2,District,Jaipur,3175255,4952882923.415596
2018,2,District,Hyderabad,3156805,6628159910.681627
2018,2,District,Birbhum,2775489,3988930679.767912
2018,2,District,Kolkata,2501448,4109821729.8900533
